step,policy,efe,risk,ambiguity,epistemic,predicted_joule_horizon,predicted_excess_energy_horizon,projected_terminal_debt,projected_path_debt,vfe,center,sigma,precision,kappa,internal_fraction,boundary_fraction,external_fraction,coupling_proxy,step_joule_total,step_joule_particle,step_joule_control,step_leakage,cumulative_joule_total,mean_abs_external,mean_abs_active,mean_abs_y,baseline_step_joule_total,baseline_step_joule_particle,baseline_step_joule_control,baseline_cumulative_joule_total,step_joule_saving_vs_baseline,cumulative_joule_saving_vs_baseline,energy_debt,breakeven_step,step_joule_total_ema,baseline_step_joule_total_ema,energy_debt_ema,cumulative_joule_saving_ema,efe_ema
20,relax,25.735383076669972,20.536925877474005,0.054998648588429816,0.018589782955878625,0.04579339084096449,0.015033975810663954,0.028536841118647526,0.31108636238570114,0.555338788146666,-0.006466507828281594,0.15802637347159415,4.097101759726509,0.76,0.26395608839217427,0.1480469249362039,0.5879969856774286,0.05952557551368604,0.08497599051666,0.08162411495614331,0.003351875560516679,0.5585971363935575,0.06252081192454198,0.36164541921155263,0.33720866439478864,0.29538862354218376,0.056896945511812375,0.0565481714226474,0.00034877408916497585,0.047894784816364507,-0.02807904500484762,-0.014626027108177479,0.014626027108177479,,0.07544690209075014,0.05688313679482566,0.006480420290047269,-0.006480420290047269,22.967983003050353
21,relax,25.612333578149528,20.208559003210734,0.05495896443304708,0.022696019219540474,0.04510316447396094,0.014427506148837827,0.029053533257015304,0.32489145503261796,0.5988479585809893,-0.007124798294654612,0.1589773352901345,4.1028467708763685,0.76,0.2608541737670682,0.15073295708152934,0.5884128681571644,0.0001563462568007749,0.08450981181786557,0.08143922497181932,0.003070586846046243,0.5589922247493064,0.06590120439725661,0.5051763054963277,0.32437562479606546,0.2873044746385114,0.05585386755384093,0.05550864479309356,0.00034522276074737727,0.05012893951851814,-0.028655944264024638,-0.015772264878738465,0.015772264878738465,,0.07617193486891938,0.056800795255546876,0.007223767857142564,-0.007223767857142564,23.179531049058287
22,relax,25.383973778356186,19.789716226265284,0.05493315316302686,0.02841376438282147,0.04426039021169241,0.013672796979755592,0.029445061858494055,0.3379530464451485,0.6421720725538094,-0.007887194758271519,0.15994303399541396,4.104542126673234,0.76,0.258734343947365,0.15425966622612786,0.5870059888337414,0.03315731781876515,0.0854744714941995,0.08267748863956505,0.0027969828546344526,0.5576556893920543,0.06932018325702459,0.7762286932848743,0.3113736308742212,0.278996591009132,0.055048265498812095,0.05470669014373526,0.00034157535507683403,0.052330870138470625,-0.030426205995387402,-0.01698931311855396,0.01698931311855396,,0.0769161377989418,0.056660592875008096,0.008005011478055477,-0.008005011478055477,23.355886467402122
23,relax,25.06672930626133,19.29063125474464,0.05494664123658535,0.021792491661702416,0.04322208187114421,0.01274393582058434,0.0297332489391383,0.3500900060820013,0.6997438571291743,-0.008399250462298516,0.16108645025395918,4.105251382089949,0.76,0.2575356476358612,0.15705416182343632,0.5854101895465298,0.044241312127523455,0.0876494178022342,0.08512109824894823,0.0025283195532859763,0.5561396800692037,0.07282615996911396,0.8372331448869832,0.2980209178013535,0.2705377038761456,0.05549975598309377,0.055162306978406135,0.00033744900468763843,0.05455086037779438,-0.03214966181914043,-0.01827529959131958,0.01827529959131958,,0.07777480019920519,0.05656772592365495,0.008826634527116605,-0.008826634527116605,23.49275389451086
24,relax,24.665628229255752,18.724427716962936,0.05497286213740425,0.01582729609492846,0.042036470682806026,0.011689139014067224,0.029964438605386803,0.36117165720997413,0.7623830617561738,-0.008522617780706527,0.16259733361276704,4.098597693643221,0.76,0.2561029029499381,0.16378522671874923,0.5801118693422337,0.02036622425801628,0.08945285472739675,0.0871874346040421,0.002265420123354647,0.5511062758751222,0.07640427415820983,0.620161050576979,0.2841903242026565,0.2620396884538077,0.056523082040510396,0.056190273436106074,0.0003328086044043219,0.05681178365941479,-0.032929772686886356,-0.019592490498795034,0.019592490498795034,,0.07870904456146052,0.05656415441300339,0.00968790300485088,-0.00968790300485088,23.58658384129045
25,relax,24.204804264022975,18.120744403550297,0.05508452369654401,0.01948897291214378,0.04078019102811949,0.010567633626675291,0.030160124125470325,0.37112824753942936,0.8339715622238236,-0.00844442308263937,0.16448380090275272,4.092577184608774,0.76,0.254186913812274,0.17137630702574566,0.5744367781722307,0.005608390050520581,0.0883641087876006,0.08635166012376276,0.0020124486638378445,0.5457149392636195,0.07993883850971385,0.3292344339603832,0.2699608097299553,0.2535234219701155,0.05629046488227404,0.05596260335518881,0.0003278615270852298,0.05906340225470575,-0.03207364390532657,-0.020875436255008095,0.020875436255008095,,0.07948144969955173,0.05654225925054504,0.010582905664863456,-0.010582905664863456,23.636041475109053
26,relax,23.70256453816658,17.495420435568306,0.05520449498991037,0.024500241837261766,0.039480884969600394,0.009386822141085953,0.03026225839609405,0.37991475091309573,0.9006091401613475,-0.008419664541508689,0.16659622112759231,4.080376990551671,0.76,0.2512425812295687,0.17973630692792283,0.5690211108571249,0.05955034535086858,0.08429073184924729,0.0825160791859979,0.0017746526632493838,0.5405700553142686,0.08331046778368374,0.6180683411258499,0.2555054728312376,0.24502387609287393,0.054894136254531364,0.05457131217068852,0.00032282408384284097,0.061259167704887006,-0.029396595594715923,-0.022051300078796732,0.022051300078796732,,0.07986619227152737,0.05641040941086395,0.011500377217978117,-0.011500377217978117,23.64136332015366
27,relax,23.20573630656406,16.90697410566405,0.05538369473886123,0.04711752546448963,0.03814286477009946,0.00815654299015978,0.030207843068956516,0.3874919332142692,0.9691463110076726,-0.008445893649013693,0.16870547311497325,4.0800325965781035,0.76,0.2488137213091039,0.1865756774934523,0.5646106002082198,0.11665549490918065,0.08009832782493398,0.07854088418493668,0.0015574436399973025,0.5363800701978088,0.0865144008966811,0.8770217816108853,0.24124387941274697,0.23662593341504726,0.053990298772998394,0.05367219934355243,0.00031809942944595874,0.06341877965580694,-0.026108029051935586,-0.023095621240874158,0.023095621240874158,,0.07988476311579991,0.056216800559834704,0.0124279967398098,-0.0124279967398098,23.60651315906649
28,relax,22.806093167234604,16.424304248715742,0.055464483231856786,0.04647272629218626,0.036770112187375914,0.006892155262100639,0.029987776502974794,0.39383006246094154,1.0618096973390336,-0.008389446647073624,0.1708455584913556,4.077590252132139,0.76,0.24891934621450046,0.1888866962546353,0.5621939565413587,0.13299781484885193,0.07773278242855643,0.07637247117028256,0.0013603112582738699,0.5340842587142908,0.08962371219382335,0.8077411064843113,0.22715390815337005,0.22834188050323034,0.05410854228906527,0.05379461344845215,0.0003139288406131169,0.06558312134736956,-0.02362424013949116,-0.024040590846453803,0.024040590846453803,,0.07971260466082043,0.05604813989817315,0.01335700426834132,-0.01335700426834132,23.54247955971994
29,relax,22.434698487757924,15.995728525725692,0.05557550867029646,0.052346912320368734,0.03535039993037569,0.005584915636222393,0.0296255064826762,0.3988743914994866,1.1474867160458921,-0.008498792718253666,0.17301072430837622,4.062485949899629,0.76,0.24996011294167458,0.19193102915672827,0.5581088569159163,0.10569089873439373,0.07642649094251007,0.07524655277672904,0.0011799381657810347,0.5302034140701203,0.09268077183152376,0.5330258164750917,0.21308123253259792,0.2200639829250295,0.05429039793432133,0.053980616698621184,0.00030978123570014925,0.06775473726474242,-0.022136093008188737,-0.024926034566781354,0.024926034566781354,,0.0794497155633556,0.05590752054106501,0.014282526692216524,-0.014282526692216524,23.45385707396298
